year,value,low,high
1985,1.0,1.0,1.0
1986,0.91183371659196,0.786973169311446,0.996345894483541
1987,0.675204004076337,0.466985496333089,0.90140615317201
1988,0.549346663189181,0.372618284744806,0.772677832886027
1989,0.45629744468213,0.293706851256472,0.669393500569049
1990,0.438510560488444,0.282401367022895,0.666347643961264
1991,0.252049459727329,0.116687884313473,0.510832400161753
1992,0.241302041802021,0.110650391526176,0.483859839874483
1993,0.244306719747848,0.110343265657605,0.507054085801207
1994,0.212961452797152,0.0967796199621064,0.443677678430619
1995,0.197471611705045,0.08725052637388,0.40595806091265
1996,0.156402914928625,0.0674746252775101,0.336367275092466
1997,0.140274715210427,0.0609128407009543,0.32971694060777
1998,0.110866415818306,0.045728643812956,0.274592713098051
1999,0.123506249329273,0.0451785550714936,0.332662392707878
2000,0.125665239252721,0.0471170554487458,0.341919597559619
2001,0.102092633980746,0.0370362276863337,0.285656368915349
2002,0.0873751119057627,0.0311635299635491,0.252112772554954
2003,0.0826536574180421,0.0290455892621736,0.24044982573924
2004,0.0808871610115503,0.0276792651498369,0.243510565131661
2005,0.0850953816868094,0.0293440724340771,0.26120778730769
2006,0.074461546406174,0.0253090639860821,0.234127387964509
2007,0.0694387113557468,0.0236027765921127,0.217158659941721
2008,0.0691651601367237,0.0233250612628397,0.216070235045628
2009,0.0753945320113008,0.0259737339937077,0.226517446922644
2010,0.0759968732758814,0.0264638417888723,0.232127581384498
2011,0.0799125981837426,0.0271864407022572,0.250054517740494
2012,0.0736357915023481,0.025230917648644,0.227239963213562
2013,0.0659558571898108,0.0223648451135658,0.206565437014456
2014,0.054253043479343,0.0177857067242078,0.178262905182434
2015,0.0564776707215599,0.0183662644535767,0.181580789662403
2016,0.0513329458833316,0.0160203544250351,0.169392826107471
2017,0.04474320457764,0.0143395043346934,0.140469597187931
2018,0.0437172709757793,0.0140870267708303,0.139942066935054
2019,0.0397277713769994,0.0127261884166961,0.127223362592962
2020,0.0428072065082576,0.013428400748609,0.145226729912957
2021,0.0435143520688552,0.0139888856251467,0.145113755018968
2022,0.0410857529335667,0.0129191943231697,0.139234059892878
